"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Упавший тест (здесь сработает магия из conftest.py)","allure_course","2026-06-27","passed","2026-06-27","","test_magic","",""
"","0","Успешный тест (тут ничего не прикрепится)","allure_course","2026-06-27","passed","2026-06-27","","test_magic","",""
